time,P_tank1,P_tank2,P_tank3,P_tank4,P_tank5,P_tank6,P_tank7,P_tank8,P_tank9,P_tank10
96.0,3553.7676861758855,3751.8678936245283,3950.127091323488,4148.506530096869,4346.975055651722,4545.386551474403,4743.859121693858,4942.309431141804,5140.702742551242,5339.090887252789
97.0,3554.3218751136887,3752.4029054993935,3950.644465199151,4149.00743021292,4347.460341690026,4545.855572207888,4744.312273589321,4942.7468675116825,5141.123636859474,5339.495163347855
98.0,3554.8759445524056,3752.9378101050715,3951.1617417268335,4149.508241153684,4347.945545367347,4546.324516267645,4744.765353830953,4943.184236682617,5141.544467900782,5339.899379649946
99.0,3555.4298945506725,3753.472607488446,3951.6789209447356,4150.008962950859,4348.430666710231,4546.793383676653,4745.218362438678,4943.621538671828,5141.965235690026,5340.3035361719285
100.0,3555.983725167146,3754.0072976963675,3952.1960028910676,4150.509595636097,4348.915705745275,4547.262174457954,4745.6712994323925,4944.0587734964765,5142.385940242093,5340.707632926449
101.0,3556.5374364603526,3754.5418807756714,3952.712987603981,4151.010139241032,4349.400662498993,4547.73088863452,4746.124164832121,4944.495941173669,5142.806581571955,5341.111669926328
102.0,3557.091028488806,3755.076356773177,3953.2298751217213,4151.510593797291,4349.885536997944,4548.199526229306,4746.57695865749,4944.933041720592,5143.227159694492,5341.515647184381
103.0,3557.6445013110456,3755.6107257356584,3953.746665482348,4152.010959336472,4350.370329268653,4548.668087265257,4747.029680928517,4945.370075154289,5143.6476746246035,5341.919564713261
104.0,3558.1978549854352,3756.1449877098307,3954.263358723976,4152.511235890079,4350.85503933763,4549.136571765318,4747.482331665009,4945.807041491966,5144.068126377178,5342.323422525775
105.0,3558.7510895703067,3756.6791427423595,3954.779954884682,4153.011423489701,4351.3396672313065,4549.60497975243,4747.934910886834,4946.243940750713,5144.488514967129,5342.727220634685
106.0,3559.304205123962,3757.213190879912,3955.296454002542,4153.511522166872,4351.824212976205,4550.073311249606,4748.387418613814,4946.680772947622,5144.908840409339,5343.130959052698
107.0,3559.857201704667,3757.7471321691005,3955.812856115542,4154.011531953065,4352.308676598748,4550.541566279588,4748.839854865792,4947.117538099758,5145.329102718636,5343.534637792561
108.0,3560.4100793706257,3758.2809666564162,3956.3291612616686,4154.511452879839,4352.793058125374,4551.009744865304,4749.292219662563,4947.55423622425,5145.74930190995,5343.938256867026
